Transaction ID,Date,Product ID,Product Name,Product Category,Quantity,PPU,Amount,Customer_ID,Region
T000001,01.01.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,70000,560000,Customer-001,Yangon
T000002,01.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon
T000003,01.01.2025,PROD-004,Standing Desk Converter,Furniture,6,500000,3000000,Customer-001,Yangon
T000004,01.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,25500,76500,Customer-001,Yangon
T000308,02.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,380000,3800000,Customer-001,Yangon
T000614,03.01.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,70000,700000,Customer-001,Yangon
T000615,03.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,1,25500,25500,Customer-001,Yangon
T000912,04.01.2025,PROD-001,Ergonomic Mesh Chair,Furniture,6,750000,4500000,Customer-001,Yangon
T001206,05.01.2025,PROD-009,Adjustable Monitor Arm,Furniture,10,195000,1950000,Customer-001,Yangon
T001521,06.01.2025,PROD-009,Adjustable Monitor Arm,Furniture,7,195000,1365000,Customer-001,Yangon
T001854,07.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,1,25500,25500,Customer-001,Yangon
T001855,07.01.2025,PROD-009,Adjustable Monitor Arm,Furniture,9,195000,1755000,Customer-001,Yangon
T001856,07.01.2025,PROD-001,Ergonomic Mesh Chair,Furniture,8,750000,6000000,Customer-001,Yangon
T001857,07.01.2025,PROD-010,Webcam 1080p HD,Electronics,10,180000,1800000,Customer-001,Yangon
T002730,10.01.2025,PROD-005,Noise-Cancelling Headphones,Electronics,1,900000,900000,Customer-001,Yangon
T002731,10.01.2025,PROD-001,Ergonomic Mesh Chair,Furniture,2,750000,1500000,Customer-001,Yangon
T003021,11.01.2025,PROD-005,Noise-Cancelling Headphones,Electronics,5,900000,4500000,Customer-001,Yangon
T003022,11.01.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,9,70000,630000,Customer-001,Yangon
T003341,12.01.2025,PROD-003,27-inch 4K Monitor,Electronics,9,1200000,10800000,Customer-001,Yangon
T003342,12.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,25500,229500,Customer-001,Yangon
T003637,13.01.2025,PROD-005,Noise-Cancelling Headphones,Electronics,7,900000,6300000,Customer-001,Yangon
T003916,14.01.2025,PROD-009,Adjustable Monitor Arm,Furniture,4,195000,780000,Customer-001,Yangon
T004240,15.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,25500,229500,Customer-001,Yangon
T004842,17.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,380000,2280000,Customer-001,Yangon
T004843,17.01.2025,PROD-001,Ergonomic Mesh Chair,Furniture,6,750000,4500000,Customer-001,Yangon
T004844,17.01.2025,PROD-004,Standing Desk Converter,Furniture,2,500000,1000000,Customer-001,Yangon
T005179,18.01.2025,PROD-005,Noise-Cancelling Headphones,Electronics,8,900000,7200000,Customer-001,Yangon
T005180,18.01.2025,PROD-010,Webcam 1080p HD,Electronics,1,180000,180000,Customer-001,Yangon
T005181,18.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,25500,76500,Customer-001,Yangon
T005484,19.01.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,1,70000,70000,Customer-001,Yangon
T005485,19.01.2025,PROD-007,USB-C Docking Station,Electronics,7,340000,2380000,Customer-001,Yangon
T006112,21.01.2025,PROD-004,Standing Desk Converter,Furniture,7,500000,3500000,Customer-001,Yangon
T006411,22.01.2025,PROD-007,USB-C Docking Station,Electronics,2,340000,680000,Customer-001,Yangon
T006412,22.01.2025,PROD-004,Standing Desk Converter,Furniture,9,500000,4500000,Customer-001,Yangon
